Cn,Ct,ec (cm3),ep (KW),Ewltp (g/km)
SPORTAGE,M1,1598.0,85.0,148.0
120I,M1,1998.0,131.0,147.0
CLIO E-TECH HYBRID,M1,1598.0,67.0,98.0
PANDA,M1,1242.0,51.0,133.0
e-tron 50,M1,,172.0,0.0
CX-30,M1,1998.0,90.0,144.0
KONA,M1,998.0,88.0,136.0
TWINGO,M1,,31.0,0.0
NIRO,M1,1580.0,77.0,111.0
530D,M1,2993.0,210.0,144.0
520D XDRIVE,M1,1995.0,140.0,143.0
GOLF,M1,1498.0,96.0,113.0
CORSA,M1,1199.0,55.0,117.0
OCTAVIA,M1,1395.0,110.0,24.0
Q5,M1,1968.0,150.0,175.0
SCALA,M1,999.0,81.0,130.0
C3,M1,1199.0,61.0,122.0
KUGA,M1,2488.0,112.0,22.0
Q7 55 TFSI E,M1G,2995.0,250.0,60.0
ASTRA+,M1,1199.0,96.0,119.0
CADDY,M1,1968.0,90.0,134.0
QASHQAI,M1,1332.0,103.0,144.0
PASSAT,M1,1395.0,115.0,27.0
JUKE,M1,999.0,84.0,135.0
XC60,M1G,1969.0,145.0,169.0
MULTIVAN,M1,1968.0,146.0,236.0
POLO,M1,1984.0,152.0,160.0
NISSAN JUKE,M1,999.0,84.0,135.0
CLASSE B,M1,1332.0,118.0,24.0
ATECA,M1,1498.0,110.0,157.0
XC60,M1G,1969.0,186.0,56.0
ZOE,M1,,51.0,0.0
TUCSON,M1,1598.0,132.0,127.0
MAZDA CX-30,M1,1998.0,90.0,134.0
PANDA,M1,999.0,52.0,112.0
COROLLA,M1,1987.0,112.0,120.0
JUKE,M1,999.0,84.0,137.0
GOLF,M1,999.0,81.0,126.0
ZOE,M1,,51.0,0.0
C-HR,M1,1798.0,72.0,111.0
CORSA,M1,1199.0,74.0,117.0
POLO,M1,999.0,70.0,121.0
XC60,M1G,1969.0,145.0,166.0
CLIO / 1.0 /,M1,999.0,67.0,119.0
2008,M1,1199.0,96.0,124.0
Q3,M1,1395.0,110.0,
RAV4,M1,2487.0,131.0,126.0
MOKKA,M1,1199.0,96.0,137.0
VITO TOURER,M1,1950.0,140.0,197.0
ASTRA SPORTS TOURER+,M1,1199.0,96.0,120.0
FORMENTOR VZ E-HYBRID,M1,1395.0,110.0,33.0
LADA 4X4,M1G,1690.0,61.0,233.0
A6 AVANT,M1,1968.0,150.0,154.0
EVO5,,1598.0,93.0,
ABARTH 500,M1,1368.0,132.0,156.0
TUCSON IX35,M1,1598.0,85.0,140.0
EQE 350,M1,,210.0,0.0
DUSTER,M1,1461.0,84.0,145.0
CLASSE GLA,M1,1332.0,118.0,32.0
GLB 200,M1,1332.0,120.0,167.0
GRANDLAND X,M1,1499.0,96.0,130.0
WRANGLER UNLIMITED,M1G,1995.0,200.0,271.0
NUEVO,M1,1499.0,96.0,120.0
XCEED,M1,1482.0,118.0,142.0
SCALA,M1,1498.0,110.0,127.0
PUMA,M1,999.0,92.0,138.0
T-CROSS,M1,999.0,85.0,144.0
SUPERB,M1,1498.0,110.0,147.0
JUKE,M1,999.0,84.0,144.0
SANDERO,M1,999.0,74.0,115.0
KODIAQ,M1,1498.0,110.0,168.0
ASTRA SPORTS TOURER,M1,1199.0,96.0,121.0
SANDERO,M1,999.0,74.0,115.0
TIGUAN,M1,1498.0,110.0,168.0
PUMA,M1,999.0,91.0,127.0
SANDERO,M1,999.0,67.0,129.0
KONA,M1,,26.0,0.0
TOYOTA YARIS,M1,1490.0,68.0,87.0
X1 xDrive25e,M1,1499.0,92.0,42.0
I 10,M1,998.0,49.0,110.0
TIGUAN,M1,1498.0,110.0,160.0
Mitsubishi Eclipse Cross,M1,2360.0,72.0,46.0
XC60,M1,1969.0,145.0,173.0
CADDY,M1,1968.0,90.0,130.0
KAROQ,M1,999.0,81.0,133.0
EV6,M1,,168.0,0.0
KANGOO,M1,1461.0,70.0,147.0
DUSTER,M1,1461.0,85.0,132.0
V60,M1,1969.0,120.0,144.0
108,M1,998.0,53.0,111.0
SERIE 4,M1,1995.0,140.0,135.0
A3 SPORTBACK,M1,1968.0,85.0,127.0
M4 Competition,M1,2993.0,375.0,229.0
SX4,M1,1373.0,95.0,141.0
Picanto,M1,998.0,,112.0
T-ROC,M1,1498.0,110.0,142.0
JAGUAR F-TYPE,M1,1997.0,221.0,217.0
I3,M1,,125.0,0.0
PASSAT,M1,1968.0,147.0,156.0
ECOSPORT,M1,998.0,92.0,135.0
FIESTA,M1,999.0,114.0,116.0
308,M1,1598.0,132.0,26.0
RENEGADE,M1,1598.0,96.0,134.0
MOKKA,M1,1499.0,81.0,118.0
SANDERO,M1,999.0,67.0,128.0
2008,M1,1199.0,96.0,125.0
SWIFT,M1,1242.0,66.0,113.0
TIPO,M1,999.0,73.0,120.0
TOYOTA COROLLA,M1,1798.0,72.0,102.0
YPSILON,M1,999.0,52.0,111.0
E-C4,M1,,57.0,0.0
TOYOTA COROLLA,M1,1798.0,72.0,111.0
CLASSE CLA,M1,1991.0,225.0,192.0
CLIO,M1,999.0,67.0,108.0
CAPTUR,M1,999.0,67.0,131.0
FABIA,M1,999.0,70.0,121.0
CLIO,M1,999.0,67.0,118.0
ARKANA / MEGANE CONQUEST,M1,1332.0,103.0,133.0
SEAT ATECA,M1,999.0,81.0,140.0
A1 SPORTBACK,M1,999.0,81.0,135.0
KAMIQ,M1,1498.0,110.0,141.0
A3 SPORTBACK,M1,1498.0,110.0,135.0
GOLF,M1,1395.0,110.0,21.0
CLIO,M1,999.0,67.0,117.0
CLASSE GLC,M1,1950.0,143.0,54.0
Q5,M1G,1968.0,150.0,175.0
COUNTRYMAN COOPER SE ALL4,M1,1499.0,92.0,40.0
CLIO,M1,1461.0,74.0,108.0
3008,M1,1499.0,96.0,135.0
COROLLA,M1,1798.0,72.0,103.0
MODEL 3,M1,,155.0,0.0
BERLINGO,M1,1499.0,75.0,138.0
GLC 300 DE 4MATIC,M1,1950.0,143.0,46.0
CORSA,M1,1199.0,74.0,132.0
NIRO,M1,1580.0,77.0,31.0
3,M1,1998.0,90.0,138.0
AMG GT 63 4MATIC+,M1,3982.0,430.0,297.0
508,M1,1499.0,96.0,124.0
TIGUAN,M1,1968.0,110.0,154.0
FABIA,M1,999.0,44.0,126.0
216D GRAN TOURER,,1496.0,85.0,
DUSTER,M1,1332.0,110.0,158.0
MII,M1,,61.0,0.0
SANDERO,M1,999.0,67.0,140.0
QASHQAI,M1,1332.0,103.0,153.0
MEGANE,M1,1332.0,103.0,135.0
FOCUS,M1,1499.0,88.0,112.0
500,M1,999.0,51.0,114.0
PUMA,M1,999.0,92.0,127.0
FABIA,M1,999.0,70.0,120.0
LEXUS UX250H,M1,1987.0,112.0,124.0
500,M1,,70.0,0.0
NISSAN LEAF 62KWH,M1,,160.0,0.0
SANDERO,M1,999.0,49.0,121.0
208,M1,,57.0,0.0
TOYOTA YARIS,M1,1490.0,68.0,92.0
ECOSPORT,M1,998.0,92.0,135.0
CLIO,M1,999.0,67.0,118.0
508,M1,1499.0,96.0,123.0
PASSAT,M1,1968.0,110.0,129.0
I 30,M1,1498.0,80.0,138.0
CAPTUR / 1.3 / 16V,M1,1332.0,103.0,131.0
MEGANE,M1,1461.0,70.0,119.0
PANDA,M1,999.0,52.0,121.0
SANDERO,M1,999.0,49.0,120.0
500,M1,,87.0,0.0
KOMBI,M1,1968.0,81.0,188.0
A8,M1,3996.0,338.0,263.0
TOURAN,M1,1498.0,110.0,154.0
2008,M1,1199.0,74.0,123.0
OCTAVIA,M1,1498.0,110.0,134.0
CADDY,M1,1498.0,84.0,149.0
PANDA,M1,999.0,52.0,111.0
C3,M1,1199.0,81.0,134.0
IBIZA,M1,999.0,85.0,141.0
C3,M1,1499.0,75.0,112.0
TOYOTA YARIS,M1,1490.0,68.0,88.0
C3,M1,1199.0,61.0,131.0
COMPASS,M1,1332.0,110.0,158.0
X2 XDRIVE18D,M1,1995.0,110.0,144.0
FIESTA,M1,999.0,92.0,113.0
116D,,1496.0,85.0,
GLA 250 4MATIC,M1,1991.0,165.0,174.0
Santa Fe,M1,2151.0,148.0,180.0
KADJAR,M1,1332.0,103.0,150.0
KOLEOS,M1,1332.0,116.0,153.0
TIGUAN,M1,1498.0,110.0,159.0
E-TRON SPORTBACK 55,M1,,300.0,0.0
A4 AVANT,M1,1968.0,100.0,128.0
3008,M1,1199.0,96.0,147.0
I10,M1,998.0,49.0,120.0
YARIS,M1,1490.0,68.0,102.0
RIFTER,M1,1499.0,75.0,138.0
CAPTUR,M1,1332.0,103.0,132.0
KADJAR,M1,1332.0,103.0,141.0
OCTAVIA,M1,1498.0,110.0,124.0
PROACE,M1,1997.0,130.0,176.0
CLIO,M1,999.0,67.0,118.0
LOGAN,M1,999.0,67.0,117.0
FOCUS,M1,1499.0,88.0,130.0
UP!,M1,,61.0,0.0
X3 xDrive30e,M1,1998.0,135.0,47.0
2008,M1,1499.0,96.0,124.0
ID.4 PRO 150 KW,M1,,150.0,0.0
PUMA,M1,999.0,92.0,126.0
COMBO,M1,1499.0,75.0,135.0
PASSAT,M1,1395.0,115.0,27.0
CLIO,M1,999.0,67.0,118.0
ZOE,M1,,51.0,0.0
TWINGO,M1,999.0,48.0,116.0
ARONA,M1,999.0,81.0,135.0
C3 AIRCROSS,M1,1499.0,88.0,133.0
FIAT 500X,M1,999.0,88.0,143.0
GLB 180,M1,1332.0,100.0,161.0
FIAT 500X,M1,1248.0,70.0,124.0
I30,M1,1598.0,85.0,115.0
SANDERO,M1,999.0,67.0,128.0
DUSTER,M1,1332.0,110.0,136.0
A6 AVANT,M1,1968.0,150.0,150.0
3008,M1,1499.0,96.0,137.0
TOYOTA YARIS CROSS,M1,1490.0,68.0,102.0
MITSUBISHI SPACE STAR,M1,1193.0,52.0,113.0
OCTAVIA RS,M1,1395.0,110.0,28.0
SUZUKI SWACE,M1,1798.0,72.0,103.0
DUSTER,M1,1461.0,84.0,142.0
MODEL 3,M1,,366.0,0.0
2008,M1,1499.0,81.0,114.0
GLB 250,M1,1991.0,165.0,180.0
GOLF GTE,M1,1395.0,110.0,27.0
TOYOTA COROLLA,M1,1798.0,72.0,102.0
CEED,M1,998.0,88.0,122.0
CLIO,M1,999.0,49.0,119.0
ARTEON,M1,1968.0,147.0,146.0
CAPTUR,M1,999.0,67.0,134.0
SANDERO,M1,999.0,67.0,127.0
Q2,M1,1498.0,110.0,134.0
GLA 180 d,M1,1950.0,85.0,142.0
PICANTO,M1,998.0,49.0,110.0
XC60,M1G,1969.0,184.0,182.0
TOYOTA YARIS,M1,1490.0,68.0,92.0
XC40,M1,1477.0,120.0,167.0
ID.4 PRO 150 KW,M1,,150.0,0.0
RANGE ROVER EVOQUE,M1G,1997.0,147.0,213.0
SEAT LEON SP,M1,999.0,81.0,133.0
GLC 300 E 4MATIC,M1,1991.0,155.0,51.0
C1,M1,998.0,53.0,110.0
TIGUAN,M1,1968.0,110.0,152.0
COROLLA,M1,1798.0,72.0,102.0
PASSAT,M1,1968.0,147.0,164.0
PANDA,M1,999.0,52.0,109.0
YARIS,M1,1490.0,68.0,92.0
COOPER S,M1,1998.0,131.0,139.0
TIGUAN,M1,1498.0,110.0,167.0
GLC 300 D 4MATIC,M1,1950.0,180.0,179.0
INSIGNIA GRAND SPORT,M1,1998.0,169.0,190.0
Q2,M1,999.0,81.0,132.0
MINI,M1,1499.0,100.0,128.0
SANDERO,M1,1461.0,70.0,126.0
MITSUBISHI SPACE STAR,M1,1193.0,52.0,113.0
VIVARO ZAFIRA LIFE,M1,,57.0,0.0
MITSUBISHI OUTLANDER,M1,2360.0,99.0,46.0
Range Rover Sport,M1,2997.0,183.0,223.0
TIGUAN,M1,1395.0,110.0,42.0
X3 XDRIVE30E,M1G,1998.0,135.0,45.0
M2 35I XDRIVE,M1,1998.0,225.0,170.0
A8,M1,2995.0,250.0,66.0
SPORTAGE,M1,1598.0,100.0,173.0
TOYOTA C-HR,M1,1798.0,72.0,111.0
C4,M1,1199.0,96.0,133.0
PROACE CITY VERSO,M1,1499.0,96.0,130.0
2008,M1,1199.0,96.0,134.0
DUSTER,M1,999.0,67.0,146.0
JUKE,M1,999.0,84.0,139.0
MITSUBISHI ECLIPSE CROSS,M1,1499.0,120.0,177.0
FORMENTOR VZ E-HYBRID,M1,1395.0,110.0,33.0
SANDERO,M1,999.0,67.0,121.0
118I,M1,1499.0,100.0,134.0
FOCUS,M1,1499.0,88.0,122.0
T-CROSS,M1,999.0,81.0,146.0
PANDA,M1,875.0,63.0,156.0
V60,M1,1969.0,110.0,148.0
CAPTUR,M1,999.0,67.0,133.0
C 300 D,M1,1993.0,195.0,139.0
FABIA,M1,999.0,70.0,120.0
Puma,M1,999.0,114.0,125.0
TOURAN,M1,1968.0,110.0,142.0
UP!,M1,999.0,48.0,116.0
A3 SPORTBACK,M1,1968.0,110.0,123.0
CEED,M1,1482.0,118.0,134.0
UP!,M1,,61.0,0.0
3008,M1,1199.0,96.0,144.0
KADJAR,M1,1332.0,103.0,149.0
Q3,M1,1968.0,110.0,139.0
3008,M1,1499.0,96.0,138.0
EXPLORER,M1,2956.0,267.0,71.0
208,M1,1499.0,75.0,108.0
C1,M1,998.0,53.0,110.0
IONIQ5,M1,,76.0,0.0
CORSA,M1,1199.0,55.0,117.0
PASSAT,M1,1968.0,110.0,130.0
TOURNEO,M1,1499.0,73.0,136.0
CLIO,M1,999.0,67.0,118.0
CORSA,M1,1199.0,55.0,120.0
VITARA,M1,1373.0,10.0,129.0
CROSSLAND X,M1,1199.0,81.0,132.0
308,M1,1499.0,96.0,123.0
BAYON,M1,998.0,74.0,119.0
MODEL 3,M1,,88.0,0.0
C5,M1,1499.0,96.0,130.0
PANDA,M1,999.0,52.0,109.0
DUSTER,M1,999.0,67.0,146.0
C 220 D 4MATIC,M1,1950.0,143.0,159.0
A 250 e,M1,1332.0,118.0,25.0
NISSAN QASHQAI,M1,1332.0,103.0,145.0
YARIS,M1,1490.0,92.0,122.0
FABIA,M1,999.0,44.0,126.0
UP!,M1,999.0,48.0,116.0
208,M1,,57.0,0.0
POLO,M1,999.0,70.0,135.0
C 300 D,M1,1993.0,195.0,137.0
QASHQAI,M1,1332.0,116.0,145.0
SPRING,M1,,,0.0
TOYOTA C-HR,M1,1798.0,72.0,110.0
S-MAX,M1,2488.0,110.0,148.0
PANDA,M1,999.0,52.0,115.0
NUEVO,M1,1199.0,61.0,123.0
E 300 DE,M1,1950.0,143.0,36.0
SEAT LEON SP,M1,1498.0,96.0,126.0
FIAT 500X,M1,1248.0,70.0,122.0
Mitsubishi Eclipse Cross,M1,2360.0,72.0,46.0
Q3 SPORTBACK,M1,1498.0,110.0,158.0
OCTAVIA,M1,999.0,81.0,122.0
PROACE CITY VERSO,M1,1199.0,96.0,154.0
RAV4,M1,2487.0,136.0,22.0
FIAT 500X,M1,999.0,88.0,147.0
CLASSE A,M1,1332.0,100.0,138.0
FIAT TIPO,M1,1598.0,96.0,119.0
A3 LIMOUSINE,M1,1984.0,140.0,161.0
208,M1,1199.0,74.0,118.0
CORSA,M1,1199.0,74.0,117.0
LAND,M1G,2755.0,150.0,250.0
MAZDA CX-30,M1,1998.0,110.0,144.0
B 250 E,M1,1332.0,118.0,27.0
220D XDRIVE,M1,1995.0,140.0,142.0
Q8 60 TFSI E,M1G,2995.0,250.0,65.0
Fiesta,M1,999.0,92.0,122.0
GOLF,M1,1968.0,85.0,121.0
208,M1,1499.0,75.0,108.0
SUPERB,M1,1395.0,115.0,25.0
DUSTER,M1,1332.0,110.0,142.0
X1,M1,1995.0,110.0,139.0
RS Q3 SPORTBACK,M1,2480.0,294.0,228.0
KANGOO,M1,1461.0,70.0,140.0
MAZDA CX-30/D116/COMFORT+/SOUN,M1,1759.0,85.0,135.0
C4 spacetourer,M1,1499.0,96.0,135.0
320e,M1,1998.0,120.0,31.0
IBIZA,M1,999.0,70.0,118.0
508,M1,1499.0,96.0,124.0
ID.4 PRO 150KW,M1,,70.0,0.0
SANDERO,M1,999.0,74.0,109.0
SCALA,M1,999.0,70.0,118.0
YARIS,M1,1490.0,92.0,122.0
CLIO,M1,999.0,67.0,108.0
DUSTER,M1,1461.0,85.0,132.0
TOYOTA AYGO,M1,998.0,53.0,113.0
Q5 SPORTBACK,M1G,1984.0,195.0,41.0
C4,M1,1199.0,96.0,130.0
CAYENNE E-HYBRID,M1G,2995.0,250.0,70.0
V-KLASSE,M1,1950.0,174.0,225.0
GIULIA,M1,2143.0,154.0,145.0
SEAT LEON SP,M1,1498.0,96.0,129.0
CLASSE B,M1,1332.0,118.0,25.0
SWIFT,M1,1197.0,61.0,111.0
KAMIQ,M1,999.0,81.0,124.0
CLIO,M1,999.0,67.0,118.0
GOLF,M1,1498.0,110.0,126.0
5008,M1,1499.0,96.0,152.0
ARTEON,M1,1968.0,147.0,162.0
SERIE 3,M1,2993.0,250.0,165.0
CLIO,M1,999.0,67.0,118.0
FOCUS,M1,999.0,114.0,126.0
TIGUAN,M1,1498.0,110.0,162.0
FIAT 500X,M1,1332.0,110.0,145.0
TWINGO,M1,,31.0,0.0
X3 XDRIVE 20D,M1G,1995.0,140.0,158.0
MX-5,M1,1496.0,97.0,142.0
SANDERO,M1,999.0,49.0,121.0
I3S,M1,,75.0,0.0
COROLLA,M1,1987.0,112.0,112.0
500,M1,999.0,52.0,106.0
ARTEON,M1,1968.0,147.0,145.0
C1,M1,998.0,53.0,109.0
OCTAVIA,M1,1395.0,110.0,24.0
CORSA,M1,1199.0,55.0,117.0
COMPASS,M1,1598.0,96.0,138.0
Model Y,M1,,378.0,0.0
UP!,M1,,61.0,0.0
iX3,M1,,210.0,0.0
208,M1,1199.0,55.0,119.0
I30,M1,1598.0,100.0,116.0
CLIO,M1,999.0,49.0,117.0
LYNK,M1,1477.0,105.0,150.0
NIRO,M1,1580.0,77.0,31.0
AMG GLC 43 4MATIC,M1,2996.0,287.0,246.0
SERIE X,M1,1995.0,110.0,146.0
X5 XDRIVE 30D,M1G,2993.0,210.0,190.0
500,M1,999.0,51.0,116.0
Kuga,M1,2488.0,112.0,32.0
V90,M1,1969.0,223.0,50.0
GLC 300 DE 4MATIC,M1,1950.0,143.0,56.0
A4 AVANT,M1,1968.0,120.0,134.0
CORSA,M1,1199.0,74.0,117.0
ID.3 PURE 110 KW,M1,,70.0,0.0
YARIS,M1,1490.0,68.0,97.0
UP!,M1,999.0,48.0,116.0
I10,M1,998.0,49.0,117.0
PUMA,M1,999.0,91.0,130.0
KUGA,M1,1496.0,110.0,151.0
COMPASS,M1G,1956.0,125.0,183.0
CLASSE A,M1,1332.0,118.0,23.0
TOYOTA YARIS,M1,1490.0,68.0,92.0
CLIO,M1,999.0,67.0,108.0
SUPERB,M1,1968.0,90.0,132.0
Mondeo,M1,1995.0,,150.0
IGNIS,M1,1197.0,61.0,112.0
COROLLA,M1,1798.0,72.0,103.0
AMG CLS 53 4MATIC,M1,2999.0,320.0,204.0
X3 XDRIVE30D,M1G,2993.0,210.0,166.0
ENYAQ 60,M1,,132.0,0.0
ID.3 PRO S 150 KW,M1,,150.0,0.0
T-ROC,M1,999.0,81.0,152.0
COUNTRYMAN,M1,1499.0,100.0,150.0
FIESTA,M1,999.0,70.0,117.0
TOYOTA SUPRA,M1,2998.0,250.0,185.0
T-ROC,M1,999.0,81.0,145.0
COROLLA,M1,1798.0,72.0,97.0
CAPTUR,M1,999.0,67.0,134.0
C3,M1,1199.0,61.0,123.0
208,M1,1499.0,75.0,106.0
PUMA,M1,999.0,114.0,127.0
SANDERO,M1,999.0,67.0,120.0
SCALA,M1,999.0,70.0,119.0
7 CROSSBACK,M1,1598.0,133.0,157.0
I 30,M1,1482.0,117.0,138.0
T-ROC,M1,1498.0,110.0,154.0
i 30,M1,1498.0,81.0,138.0
OUTBACK,M1,2498.0,124.0,193.0
CLIO,M1,999.0,67.0,118.0
MEGANE,M1,1598.0,67.0,29.0
IGNIS,M1,1197.0,61.0,112.0
C3,M1,1199.0,61.0,123.0
